module,type,name,res_id,src,value,comments
base,model,"ir.module.module,description",base.module_l10n_cn_small_business,"

    科目类型\会计科目表模板\增值税\辅助核算类别\管理会计凭证簿\财务会计凭证簿

    添加中文省份数据

    增加小企业会计科目表

    ",,
base,model,"ir.module.module,description",base.module_l10n_be_invoice_bba,"

Add Structured Communication to customer invoices.
--------------------------------------------------

Using BBA structured communication simplifies the reconciliation between invoices and payments.
You can select the structured communication as payment communication in Invoicing/Accounting settings.
Three algorithms are suggested:

    1) Random : +++RRR/RRRR/RRRDD+++
        **R..R =** Random Digits, **DD =** Check Digits
    2) Date : +++DOY/YEAR/SSSDD+++
        **DOY =** Day of the Year, **SSS =** Sequence Number, **DD =** Check Digits
    3) Customer Reference +++RRR/RRRR/SSSDDD+++
        **R..R =** Customer Reference without non-numeric characters, **SSS =** Sequence Number, **DD =** Check Digits
    ",,
base,model,"ir.module.module,description",base.module_pos_reprint,"

Allow cashier to reprint receipts

",,
base,model,"ir.module.module,description",base.module_l10n_hu,"

Base module for Hungarian localization
==========================================

This module consists :

 - Generic Hungarian chart of accounts
 - Hungarian taxes
 - Hungarian Bank information
 ",,
base,model,"ir.module.module,description",base.module_l10n_dk,"

Localization Module for Denmark
===============================

This is the module to manage the **accounting chart for Denmark**. Cover both one-man business as well as I/S, IVS, ApS and A/S

**Modulet opsætter:**

- **Dansk kontoplan**

- Dansk moms
        - 25% moms
        - Resturationsmoms 6,25%
        - Omvendt betalingspligt
        
- Konteringsgrupper
        - EU (Virksomhed)
        - EU (Privat)
        - 3.lande

- Finans raporter
        - Resulttopgørelse
        - Balance
        - Momsafregning
            - Afregning
            - Rubrik A, B og C

- **Anglo-Saxon regnskabsmetode**

.

Produkt setup:
==============

**Vare**

**Salgsmoms:**      Salgmoms 25%

**Salgskonto:**     1010 Salg af vare, m/moms

**Købsmoms:**       Købsmoms 25%

**Købskonto:**      2010 Direkte omkostninger vare, m/moms

.

**Ydelse**

**Salgsmoms:**      Salgmoms 25%, ydelser

**Salgskonto:**     1011 Salg af ydelser, m/moms

**Købsmoms:**       Købsmoms 25%, ydelser

**Købskonto:**      2011 Direkte omkostninger ydelser, m/moms

.

**Vare med omvendt betalingspligt**

**Salgsmoms:**      Salg omvendt betalingspligt

**Salgskonto:**     1012 Salg af vare, u/moms

**Købsmoms:**       Køb omvendt betalingspligt

**Købskonto:**      2012 Direkte omkostninger vare, u/moms


.

**Restauration**

**Købsmoms:**       Restaurationsmoms 6,25%, købsmoms

**Købskonto:**      4010 Restaurationsbesøg

.

Copyright 2018 Odoo House ApS
    ",,
base,model,"ir.module.module,description",base.module_l10n_do,"

Localization Module for Dominican Republic
===========================================

Catálogo de Cuentas e Impuestos para República Dominicana, Compatible para
**Internacionalización** con **NIIF** y alineado a las normas y regulaciones
de la Dirección General de Impuestos Internos (**DGII**).

**Este módulo consiste de:**

- Catálogo de Cuentas Estándar (alineado a DGII y NIIF)
- Catálogo de Impuestos con la mayoría de Impuestos Preconfigurados
        - ITBIS para compras y ventas
        - Retenciones de ITBIS
        - Retenciones de ISR
        - Grupos de Impuestos y Retenciones:
                - Telecomunicaiones
                - Proveedores de Materiales de Construcción
                - Personas Físicas Proveedoras de Servicios
        - Otros impuestos
- Secuencias Preconfiguradas para manejo de todos los NCF
        - Facturas con Valor Fiscal (para Ventas)
        - Facturas para Consumidores Finales
        - Notas de Débito y Crédito
        - Registro de Proveedores Informales
        - Registro de Ingreso Único
        - Registro de Gastos Menores
        - Gubernamentales
- Posiciones Fiscales para automatización de impuestos y retenciones
        - Cambios de Impuestos a Exenciones (Ej. Ventas al Estado)
        - Cambios de Impuestos a Retenciones (Ej. Compra Servicios al Exterior)
        - Entre otros

**Nota:**
Esta localización, aunque posee las secuencias para NCF, las mismas no pueden
ser utilizadas sin la instalación de módulos de terceros o desarrollo
adicional.

Estructura de Codificación del Catálogo de Cuentas:
===================================================

**Un dígito** representa la categoría/tipo de cuenta del del estado financiero.
**1** - Activo        **4** - Cuentas de Ingresos y Ganancias
**2** - Pasivo        **5** - Costos, Gastos y Pérdidas
**3** - Capital       **6** - Cuentas Liquidadoras de Resultados

**Dos dígitos** representan los rubros de agrupación:
11- Activo Corriente
21- Pasivo Corriente
31- Capital Contable

**Cuatro dígitos** se asignan a las cuentas de mayor: cuentas de primer orden
1101- Efectivo y Equivalentes de Efectivo
2101- Cuentas y Documentos por pagar
3101- Capital Social

**Seis dígitos** se asignan a las sub-cuentas: cuentas de segundo orden
110101 - Caja
210101 - Proveedores locales

**Ocho dígitos** son para las cuentas de tercer orden (las visualizadas
en Odoo):
1101- Efectivo y Equivalentes
110101- Caja
11010101 Caja General
    ",,
base,model,"ir.module.module,description",base.module_l10n_jp,"

Overview:
---------

* Chart of Accounts and Taxes template for companies in Japan.
* This probably does not cover all the necessary accounts for a company. You are expected to add/delete/modify accounts based on this template.

Note:
-----

* Fiscal positions '内税' and '外税' have been added to handle special requirements which might arise from POS implementation. [1]  You may not need to use these at all under normal circumstances.

[1] See https://github.com/odoo/odoo/pull/6470 for detail.

    ",,
base,code,addons/base/models/res_config.py,316,"

This addon is already installed on your system",,
base,model,"ir.module.module,description",base.module_pos_sale,"

This module adds a custom Sales Team for the point of sale to be able to view and manage your point of sale sales with more ease.
",,
base,model,"ir.module.module,description",base.module_pos_restaurant,"

This module adds several restaurant features to the Point of Sale:
- Bill Printing: Allows you to print a receipt before the order is paid
- Bill Splitting: Allows you to split an order into different orders
- Kitchen Order Printing: allows you to print orders updates to kitchen or bar printers

",,
base,model,"ir.module.module,description",base.module_pos_discount,"

This module allows the cashier to quickly give a percentage
sale discount to a customer.

",,
base,model,"ir.module.module,description",base.module_account_tax_python,"
        A tax defined as python code consists in two snippets of python code which are executed in a local environment containing data such as the unit price, product or partner.

        ""Applicable Code"" defines if the tax is to be applied.

        ""Python Code"" defines the amount of the tax.
        ",,
base,model,"ir.module.module,summary",base.module_account_tax_python,"
        Allows to use python code to define taxes",,
base,model,"ir.module.module,summary",base.module_partner_autocomplete,"
        Auto-complete partner companies' data",,
base,model,"ir.module.module,description",base.module_hr_maintenance,"
        Bridge between HR and Maintenance.",,
base,model,"ir.module.module,description",base.module_l10n_lt,"
        Chart of Accounts (COA) Template for Lithuania's Accounting.

        This module also includes:

        * List of available banks in Lithuania.
        * Tax groups.
        * Most common Lithuanian Taxes.
        * Fiscal positions.
        * Account Tags.
    ",,
base,model,"ir.module.module,summary",base.module_partner_autocomplete_address_extended,"
        Correct address formating when both modules are installed",,
base,model,"ir.module.module,summary",base.module_pos_cache,"
        Enable a cache on products for a lower POS loading time.",,
base,model,"ir.module.module,description",base.module_openacademy,"
        Open Academy module for managing trainings:
            - training courses
            - training sessions
            - attendees registration
    ",,
base,model,"ir.module.module,description",base.module_hr_expense_check,"
        Print amount in words on checks issued for expenses
    ",,
base,model,"ir.module.module,summary",base.module_social_media,"
        Social media connectors for company settings.",,
base,model,"ir.module.module,description",base.module_base_sparse_field,"
        The purpose of this module is to implement ""sparse"" fields, i.e., fields
        that are mostly null. This implementation circumvents the PostgreSQL
        limitation on the number of columns in a table. The values of all sparse
        fields are stored in a ""serialized"" field in the form of a JSON mapping.
    ",,
base,model,"ir.module.module,description",base.module_social_media,"
        The purpose of this technical module is to provide a front for
        social media configuration for any other module that might need it.
    ",,
base,model,"ir.module.module,description",base.module_im_support,"
        This module allows employee users to communicate with livechat operators
        of another database on which a counterpart addon is installed.
    ",,
base,model,"ir.module.module,description",base.module_stock_zebra,"
        This module bring templates to produce labels in the Stock app (and derivatives) for Zebra printers. Those devices print thermal barcode label and shipping labels. Printers make label from ZPL script which is built in Odoo.",,
base,model,"ir.module.module,description",base.module_maintenance,"
        Track equipments and maintenance requests",,
base,model,"ir.module.module,description",base.module_hr_recruitment_survey,"
        Use interview forms during recruitment process.
        This module is integrated with the survey module
        to allow you to define interviews for different jobs.
    ",,
base,model,"ir.module.module,summary",base.module_stock_zebra,"
        Zebra printers integration for stock module",,
base,model,"ir.module.module,description",base.module_partner_autocomplete,"
       Auto-complete partner companies' data
    ",,
